"name"	"label"	"gender"	"churchperson"	"middle_class"	"kinship_id"	"cathar_aff"	"apostle_aff"	"other_heterodoxy_aff"	"deponent"	"redeponent"	"ever_summoned"	"ever_pledged"	"ever_incarcerated"	"ever_tortured"	"inq_FV"	"inq_GV"	"inq_GP"	"inq_BdF"	"non_id_aff"
"P0543"	"Domineghellus Bolnixii Ferarexe de terra S. Martini in Argele"	1	0	0	68	0	0	1	0	0	1	0	0	0	0	1	0	0	0
"P0544"	"Dominica Stephani de La Rovore de terra Rovoretoli"	0	0	0	509	0	0	0	1	0	1	0	0	0	0	0	1	0	1
"P0554"	"Dominicus Petri Balugani de Plumatio"	1	0	0	167	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0556"	"Dominicus"	1	0	0	520	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0566"	"Dondideus de burgo Nosadelle"	1	0	1	529	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0570"	"Egidia Partinopei de Ferraria de Malavoltis"	0	0	0	533	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0578"	"Faciolus Lambertini"	1	1	1	540	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0583"	"Faxanna"	0	0	0	545	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0595"	"Florina"	0	0	0	557	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0597"	"Fogaça"	0	0	0	559	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0599"	"Formentinus de Mediolano"	1	1	0	561	0	1	0	1	0	1	0	0	0	0	0	1	0	0
"P0603"	"Francisca Francisci Petri Zacharie"	0	0	0	20	0	1	0	1	0	1	1	0	0	0	0	1	0	0
"P0605"	"Francisca Gerardini"	0	0	0	566	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0608"	"Francisca Prevedini de Plumatio"	0	0	0	569	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0610"	"Francischa Ugolini"	0	0	0	571	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0611"	"Francischa Çonis Chavalli de Musello"	0	0	0	572	0	0	0	1	1	1	0	0	0	0	0	1	0	1
"P0627"	"Francischus Gerardelli de Butrio"	1	0	0	588	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0629"	"Franciscus Iacobi de Ghixleriis"	1	0	0	590	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0632"	"Francischus Iohannis de Blanchis de S. Helena"	1	0	0	261	0	1	0	0	0	1	0	0	0	0	0	1	0	0
"P0633"	"Franciscus Marchi"	1	0	0	593	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0637"	"Franciscus"	1	1	0	597	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0638"	"Francischus Pasqualis de Agubio"	1	0	1	598	0	0	1	0	0	1	0	0	0	0	1	0	0	0
"P0646"	"Francischinus de S. Martino in Arçele"	1	0	0	605	0	0	1	0	0	1	0	0	0	0	1	0	0	0
"P0653"	"Frederichus Grampa de Novaria"	1	0	0	612	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0656"	"Fredus de Boccadeferris de Plumatio"	1	0	0	615	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0663"	"Gallus Alberti de Florentia"	1	0	0	621	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0664"	"Galvanus"	1	0	0	622	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0671"	"Gentilis de Tuscia vel de Marchia"	1	0	0	629	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0672"	"Geppus Lamberti de Florentia"	1	0	1	630	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0677"	"Gerardinus"	1	1	0	635	0	0	0	1	0	1	0	0	0	0	1	0	0	1
